429	전상근	남성	솔로	11001
430	김건모	남성	솔로	17341
431	포스트맨(Postmen)	남성	그룹	13404
432	JOO	여성	솔로	5181
433	이재훈 (쿨)	남성	솔로	3632
434	LC9	남성	그룹	108
435	유재석 X Dok2	남성	그룹	1039
436	디오 (D.O.)	남성	솔로	150413
437	에이치코드 (H:CODE)	남성	솔로	3896
438	정형돈	남성	솔로	2942
439	The Quiett	남성	솔로	54090
440	김동희	여성	솔로	2714
441	미지	여성	그룹	428
442	국민의 아들	남성	그룹	16277
443	포이트리	남성	그룹	257
444	제니 (JENNIE)	여성	솔로	35237
445	정효빈	여성	솔로	5890
446	오렌지 캬라멜	여성	그룹	13206
447	애프터스쿨 BLUE	여성	그룹	505
448	손승연	여성	솔로	20702
449	임한별	남성	솔로	14105
450	Tablo	남성	솔로	18056
451	김도현	남성	솔로	122
452	포맨	남성	그룹	48319
453	잔나비	남성	그룹	109211
454	레이나 (Raina)	여성	솔로	7228
455	김연우	남성	솔로	35937
456	이현	남성	솔로	3687
457	시크릿	여성	그룹	9497
458	김남주(에이핑크)	여성	솔로	16870
459	C-CLOWN	남성	그룹	4308
460	Bruno Mars	남성	솔로	93430
461	NCT DREAM	남성	그룹	141345
462	니엘	남성	솔로	7700
463	MC 스나이퍼	남성	솔로	16849
464	윤도현	남성	솔로	17989
465	주비스	여성	그룹	447
466	미스터 파파	남성	그룹	75
467	트로이 (범키, 칸토, 재웅, 창우)	남성	그룹	2078
468	싸이 (PSY)	남성	솔로	41175
469	#Gun	남성	솔로	4191
470	레드애플	남성	그룹	1401
471	루피 (Loopy)	남성	솔로	31745
472	공기남	남성	솔로	10840
473	조이 (JOY)	여성	솔로	43223
474	민아 (걸스데이)	여성	솔로	9763
475	으뜨거따시 (하하, 자이언티)	남성	그룹	2211
476	허성현 (Huh!)	남성	솔로	5462
477	에릭남 (Eric Nam)	남성	솔로	39710
478	이승훈	남성	솔로	25277
479	모트 (Motte)	여성	솔로	18499
480	MASTA WU	남성	솔로	2030
481	노지훈	남성	솔로	2105
482	자우림	혼성	그룹	35545
483	태양	남성	솔로	69278
484	베이식 (Basick)	남성	솔로	11246
485	에피톤 프로젝트	남성	솔로	41157
486	인순이	여성	솔로	2191
487	씨리얼	여성	그룹	236
488	V	남성	솔로	163198
489	서인영	여성	솔로	5454
490	살찐고양이	여성	솔로	733
491	오종혁	남성	솔로	1204
492	김재환	남성	솔로	58776
493	숙희	여성	솔로	5923
494	소녀시대-태티서 (Girls' Generation-TTS)	여성	그룹	37379
495	2AM	남성	그룹	9007
496	XIA (준수)	남성	솔로	55140
497	소녀온탑	여성	솔로	2662
498	소울스타 (SOULSTAR)	남성	그룹	7027
499	인피니트H	남성	그룹	31719
500	MINO (송민호)	남성	솔로	90680
501	타우	남성	솔로	189
502	린	여성	솔로	44746
503	김경호	남성	솔로	12718
504	나얼	남성	솔로	52399
505	EXO	남성	그룹	527379
506	임세준	남성	솔로	12620
507	B.A.P	남성	그룹	24947
508	브레이브걸스	여성	그룹	43868
509	Apink (에이핑크)	여성	그룹	139149
510	황인욱	남성	솔로	9285
511	Knock	남성	그룹	3981
512	YB	남성	그룹	16936
513	이장우	남성	솔로	264
